32911311/	CD	@card@
Critical	JJ	critical
illness-associated	JJ	illness-associated
cerebral	JJ	cerebral
microbleeds	NNS	<unknown>
in	IN	in
severe	JJ	severe
COVID-19	NP	<unknown>
infection	NN	infection
Neurologic	JJ	neurologic
complications	NNS	complication
of	IN	of
COVID-19	NP	<unknown>
infection	NN	infection
have	VBP	have
been	VBN	be
recently	RB	recently
described	VBN	describe
and	CC	and
include	VBP	include
dizziness	NN	dizziness
,	,	,
headache	NN	headache
,	,	,
loss	NN	loss
of	IN	of
taste	NN	taste
and	CC	and
smell	NN	smell
,	,	,
stroke	NN	stroke
,	,	,
and	CC	and
encephalopathy	NN	<unknown>
.	SENT	.
Brain	NP	Brain
MRI	NP	MRI
in	IN	in
these	DT	these
patients	NNS	patient
have	VBP	have
revealed	VBN	reveal
various	JJ	various
findings	NNS	finding
including	VBG	include
ischemia	NN	ischemia
,	,	,
hemorrhage	NN	hemorrhage
,	,	,
inflammation	NN	inflammation
,	,	,
and	CC	and
demyelination	NN	demyelination
.	SENT	.
In	IN	in
this	DT	this
article	NN	article
,	,	,
we	PP	we
report	VBP	report
a	DT	a
case	NN	case
of	IN	of
critical	JJ	critical
illness-associated	JJ	illness-associated
cerebral	JJ	cerebral
microbleeds	NNS	<unknown>
identified	VBN	identify
on	IN	on
MRI	NP	MRI
in	IN	in
a	DT	a
patient	NN	patient
with	IN	with
severe	JJ	severe
COVID-19	NP	<unknown>
infection	NN	infection
and	CC	and
discuss	VB	discuss
the	DT	the
potential	JJ	potential
etiologies	NNS	etiology
of	IN	of
these	DT	these
neuroimaging	VBG	neuroimage
findings	NNS	finding
.	SENT	.
Neurological	JJ	neurological
symptoms	NNS	symptom
are	VBP	be
common	JJ	common
in	IN	in
patients	NNS	patient
with	IN	with
COVID-19	NP	<unknown>
.	SENT	.
Critical	JJ	critical
illness-associated	JJ	illness-associated
cerebral	JJ	cerebral
microbleeds	NNS	<unknown>
can	MD	can
be	VB	be
seen	VBN	see
in	IN	in
the	DT	the
setting	NN	setting
of	IN	of
severe	JJ	severe
COVID-19	NP	<unknown>
.	SENT	.
Critical	JJ	critical
illness-associated	JJ	illness-associated
cerebral	JJ	cerebral
microbleeds	NNS	<unknown>
are	VBP	be
a	DT	a
neuroimaging	NN	neuroimaging
finding	NN	finding
thought	VBD	think
to	TO	to
be	VB	be
related	VBN	relate
to	TO	to
hypoxemia	NN	<unknown>
,	,	,
ECMO-related	JJ	ECMO-related
complications	NNS	complication
and/or	CC	and/or
DIC	JJ	DIC
.	SENT	.
In	IN	in
patients	NNS	patient
with	IN	with
severe	JJ	severe
COVID-19	NP	<unknown>
,	,	,
other	JJ	other
potential	JJ	potential
etiologies	NNS	etiology
of	IN	of
cerebral	JJ	cerebral
microbleeds	NNS	<unknown>
are	VBP	be
endotheliopathy	NN	<unknown>
,	,	,
encephalitis	NN	encephalitis
and	CC	and
immune	JJ	immune
response	NN	response
.	SENT	.
34061905/	CD	@card@
Extensive	JJ	extensive
C-&gt	NP	<unknown>
;	:	;
U	NP	U
transition	NN	transition
biases	NNS	bias
in	IN	in
the	DT	the
genomes	NNS	genome
of	IN	of
a	DT	a
wide	JJ	wide
range	NN	range
of	IN	of
mammalian	JJ	mammalian
RNA	NP	RNA
viruses	NNS	virus
;	:	;
potential	JJ	potential
associations	NNS	association
with	IN	with
transcriptional	JJ	transcriptional
mutations	NNS	mutation
,	,	,
damage-	NN	<unknown>
or	CC	or
host-mediated	JJ	<unknown>
editing	VBG	edit
of	IN	of
viral	JJ	viral
RNA	NP	RNA
The	DT	the
rapid	JJ	rapid
evolution	NN	evolution
of	IN	of
RNA	NP	RNA
viruses	NNS	virus
has	VBZ	have
been	VBN	be
long	RB	long
considered	VBN	consider
to	TO	to
result	VB	result
from	IN	from
a	DT	a
combination	NN	combination
of	IN	of
high	JJ	high
copying	NN	copying
error	NN	error
frequencies	NNS	frequency
during	IN	during
RNA	NP	RNA
replication	NN	replication
,	,	,
short	JJ	short
generation	NN	generation
times	NNS	time
and	CC	and
the	DT	the
consequent	JJ	consequent
extensive	JJ	extensive
fixation	NN	fixation
of	IN	of
neutral	JJ	neutral
or	CC	or
adaptive	JJ	adaptive
changes	NNS	change
over	IN	over
short	JJ	short
periods	NNS	period
.	SENT	.
While	IN	while
both	CC	both
the	DT	the
identities	NNS	identity
and	CC	and
sites	NNS	site
of	IN	of
mutations	NNS	mutation
are	VBP	be
typically	RB	typically
modelled	VBN	model
as	IN	as
being	VBG	be
random	JJ	random
,	,	,
recent	JJ	recent
